id,label,text,image_url,publish_date,image_id
34,fake,Todays Taiwan earthquake tilted a high-rise building in Xiamen The buildings in the epicenter of Taiwan did not tilt but the building in Xiamen was tilted What kind of situation is this Lets see what shocking explanations the government and experts have // Can only say its a miracle,,,
35,fake,Today on behalf of the Earth we call for - Boycott the Foolish  Earth supports the boycott of Japanese goods but please dont hurt others or damage their property okay,,,
36,real,Little Georges first day at kindergarten Here are also two photos of his dad from back in the day,,,
37,fake,Dianpings Radical Reform Plan Relocate the Capital to Beijing Retire Old Staff Dianping has the ideal of going public independently which is commendable it can almost go for an IPO in the second half of 2014 However at the same time Dianping is already on the brink of life and death requiring a radical reform plan Relocating the headquarters to Beijing replacing top management and retiring old staff are three directions that can be considered Huang Yuanpus sharp interpretation →→ O web link,,,
38,real,Financial English Twitter targets non-registered users Twitter wants to show investors that even if user growth slows down the companys advertising revenue will still grow OFT Business School,,,
39,fake,Peak One also stuck people in mid-air yesterday Following the incident where 12 people were stuck in mid-air at the Wuhan Happy Valley the so-called highest suspended roller coaster in Asia Peak One at Jinjiang Amusement Park also had an accident yesterday Around 2 pm after Peak One started to ascend it suddenly stopped leaving 32 passengers stranded in mid-air They were rescued to the ground after 10 to 15 minutes The park management investigated the incident and concluded that the shutdown was caused by individual passengers moving around after the ride started,,,
40,real,First trading day of 2016 A-share circuit breaker mechanism takes effect Asia-Pacific seven markets all fall Under the pressure of Chinese manufacturing data and the situation between Saudi Arabia and Iran stock markets in Shanghai and Shenzhen Hong Kong Japan South Korea Taiwan and Australia in the Asia-Pacific region all fell on the first trading day of the year O web link,,,
41,fake,Eight pairs of shoes Liu Ailing from Yongshou Shaanxi died tragically shocking the entire Yongshou The reason is that her house was forcibly demolished by the local government and her father was beaten and disabled then thrown into a black prison for appealing Finally she had no choice but to appeal in Xian On her way to appeal she was actually captured by government officials and taken back to Yongshou County In the end she was raped in turn by Yang Zhibin the head of the Yongshou County Justice Bureau and his subordinates leading her to jump from a building in despair and commit suicide leaving behind a gruesome death scene This post has been forwarded more than 20000 times,,,
42,fake,Hu Xijin editor-in-chief of Global Times arrived in New Delhi India on January 29 to attend the Sino-Indian Media Forum He boarded a flight in Mumbai on February 2 to fly to Hong Kong for a transfer back to Beijing It is unknown whether he transited through Hong Kong or arrived in Beijing as no one has seen him He has been absent from work for 8 days and is currently missing His last Weibo post was made at Mumbai Airport According to reliable sources after transiting through Hong Kong Hu Xijin secretly took a flight to the United States and has arrived in Chicago,,,
43,real,Head chopped off for not believing in Islam IS threatening emails appear in multiple locations in Sweden In recent times threatening emails have emerged across the country including the capital Stockholm The emails demand people to convert to Islam or pay a faith tax to the Islamic State otherwise we will come to your home to cut off your head The emails are printed with the flag of the Islamic State The actual source and intent of these emails are yet to be determined and Sweden has launched an investigation into the matter,,,
44,real,Taiwanese Media Mistakenly Calls Guiyang the Capital of Guangxi Enraging Netizens  Netizen TigerGrandpa John exposed Recently a foolish mistake appeared in the Taiwan edition of TheEconomistGroup mistakenly referring to Guiyang as the capital of Guangxi Province He mentioned that he bought The Economist magazine at the bookstore in Taipei Taoyuan Airport and stated Please refund my money for the book This immediately attracted numerous angry complaints from Guiyang netizens,,,
45,real,Germany Sexual Assault Occurs Daily in Refugee Camps Female Migrants Become Prostitutes Local media reports that sexual crimes in some German refugee camps are out of control with female immigrants being forced into prostitution for 10 euros per session A refugee camp in Kitzingen Bavaria had to restrict employment to male staff only as female cleaning staff were subjected to various sexual assaults for 10 consecutive days In the first ten days of this month two people have been arrested for attacking female cleaning workers,,,
46,real,The US officials have begun to investigate why ISIS has so many Toyota vehicles,,,
47,fake,Attention KFC is giving away condoms with meals on Valentines Day To avoid embarrassment and for the sake of children they wont actively mention or promote it If you want some just tell the staff Give me some KFC condoms and they will provide them for free Dont miss out,,,
48,real,Exclusive Interview with Thomson Reuters China Business Head Du Yang Whats Missing from the London RMB Market after Xis UK Visit   For markets including Hong Kong the most pressing concern is Chinas first-ever issuance of RMB bonds in the UK What does this mean for the London offshore RMB market How will the development of Londons offshore RMB business affect Hong Kong,,,
49,fake,Remember everyone Dont just randomly hit on girls so scary so scary Four-eyed girl Ades contribution For more couple stories recommend following Cantonese Emotional Line,,,
50,real,Shanghai Subway Woman Eating Chicken Feet and Swearing Sparks Online Wang Ruoyang Controversy Recently a video uploaded by a netizen revealed a woman eating spicy chicken feet in a Shanghai subway car littering bones everywhere After being criticized she not only argued with fellow passengers but also took out her phone to film the whistleblower After the video went viral online the womans real identity was uncovered by netizens followed by an apology from a so-called netizen O web link,,,
51,fake,Too shocking These are photos taken from the current situation of children in Liangshan Sichuan and Bijie Guizhou two poverty-stricken counties With such tattered clothes how can the Chinese Dream be achieved It reminds me of the luxury cars under officials and the Moutai they drink I want to say Officials should care for the people Officials can you replace the luxury cars and save a few glasses of Moutai to improve the lives of poor children Lawyer Yuan Yulai Old Xus Comments Ji Xuguang,,,
52,real,This is too harsh The El Sayad restaurant in Cairo the capital of Egypt was recently attacked by a homemade bottle bomb known as a Molotov cocktail resulting in 16 people being buried in the fire The local specialty store that supplies food and alcohol was not targeted by a terrorist attack nor was it a hit by a spy organization Police investigation later revealed that the arsonists were two young men and the shocking reason for the arson might simply be retaliation for being banned from entering the premises,,,
53,fake,Finally were fighting the Japanese exciting and happy How dare such a tiny piece of land provoke the divine power Md let you taste the harm stop messing with China,,,
54,fake,Protect your little ones There has been a case of a child being snatched at Wanda Plaza A woman took the child and abandoned him there Wanda closed all the exits and eventually the child was found in the restroom A little girl her hair shaved off dressed in boys clothes with a dazed look had been drugged As the weather heats up everyone loves to take their children out to bask in the sun but child traffickers are also on the prowl Everyone please be extra careful 2 Dongyi Road,,,
55,real,Mind-Blowing Those Adorable World War I Weapons and Equipment,,,
56,fake,Traffic police enforce the law with violence forcibly dragging away a female car owner The incident background is that recently in Changsha the problem of electric vehicles is being tackled A female car owner was not very cooperative and was dragged on the ground by two male traffic police officers When a passerby was recording evidence a man who was not dressed in a traffic police uniform rushed over snatched the passerbys phone and threw it into the bushes,,,
57,real,Ningxia Bus Arson Case Police Claim Retaliation for Debt Had Hinted on Social Media According to a report by Beijing Youth Daily the creditor of Ma Yongping did not notice anything unusual before the incident except that on the night before the incident Ma Yongping posted on his social media circle A few sparks on the Ningxia Yinchuan bus Webpage link,,,
58,real,Part 2 of the UK Visit Photo Series,,,
59,fake,The world is so big where is it safe 2 Lanzhou · Yuzhong County No6 Middle School,,,
60,fake,Boston Explosion The child only 8 years old tragically died in the explosion today,,,
61,real,CBS60MinutesParisTerroristAttack Special episode In the immediate aftermath of the Paris tragedy CBS released this special feature interviewing two witnesses who experienced the Paris attacks firsthand bringing to light the real situation at the time mourning the deceased Whenever there is a attack the victims are always innocent civilians CBS60 Paris Terrorist Attack Special Episode,,,
62,fake,It seems to be a false alarm I am at 2 Jiemei Avenue,,,
63,real,Journalist captures the interior of the bombed Doctors Without Borders hospital,,,
64,fake,New Traffic Regulations The following eight rules are summarized for your attention dear drivers Implementation starts on January 1 2013 Yu Jianrong Hainan-Li Chao Hainan Liangshan Sanmeiye Han Chaoguang Editor-in-Chief of South China Sea Network Huang Haining Hainan University Marine Jianghu Leader Lao Nie Talks Strategy Gang Feng Sees the World Liu Xiahuai Haikou Lao Xu Chengbang Li Huige,,,
65,fake,Liu Li &amp Li Meijin Liu Li is an ordinary working woman with a very good conscience a qualified peoples representative who can represent the interests of the people Li Meijin although learned and knowledgeable has a black conscience a left-wing extremist without a sense of right and wrong She even shamelessly said that Li Tianyi a man who has committed a series of heinous crimes including rape and gang rape is a good person and that beating people raping and gang raping are minor mistakes that can only be criticized not punished,,,
66,real,Chinese President Xi Jinpings visit to the UK,,,
67,real,Horrible photos of the 1932-1933 Ukrainian Famine Microblog Ukraine,,,
68,real,First survivor rescued after 67 hours in Shenzhen Landslide Families hope for communication rather than being brushed off Relatives of the victims who have been arranged to stay at a location further from the scene but continue to wait told our newspaper that they feel encouraged They hope that the rescue command authorities can communicate more with the families especially the survivors and value the information they provide O web link,,,
69,fake,Wanted Notice These 11 individuals are the militants responsible for the tragic incident in Kunming last night Everyone please quickly share this If you see them call the police immediately,,,
70,fake,Da Gu died again,,,
71,fake,Caution A new scam is here 1 Real or fake courier 2 Dangerous free keychains 3 Mysterious 10086 phone calls Whats frightening is that these three scams have already tricked countless people Remind your friends Share&nbsp&nbsp   Here is the translated content without any Chinese characters   **Million Dollar Attention A New Scam is Here 1 Real or fake courier 2 Dangerous free keychains 3 Mysterious 10086 phone calls Scary enough these three scams have already led to countless people being deceived Remind your friends**,,,
72,fake,The list of 120 people not disclosed by the police has been completely leaked by me Seeing how curious you all are I cant bear to keep it a secret anymore No need to thank me its what I should do Jaycee Chan Drug Arrest,,,
73,fake,10 Chongqing officials dismissed over indecent video award Zhao Hongxia the Shake China Award 5 corrupt officials and 1 woman in a hotel Zhao Hongxia a nuclear bomb against corruption takes down a group of big fish Peng Zhiyong secretary of Jiulongpo District Fan Mingwen secretary of Bishan County Luo Guang chairman of Southwest Securities Han Shuming mayor of Changshou Su Zhiguang deputy general manager of Chongqing Urban Investment Proposing to award Anti-corruption Goddess Zhao Hongxia with the Shake China Award If you agree please retweet or comment O web link,,,
74,fake,All the tricks to make money by charging are thought out  Yantai Parks coin-operated bench just insert a coin before sitting and the nail will go down,,,
75,fake,Too shocking This can match it As expected I was shocked At 341 pm local time on February 3 2012 an Indian woman gave birth to 11 children Instantly shocked,,,
76,real,The Ministry of Foreign Affairs confirmed that Chinese hostage Fan Jinghui was kidnapped and cruelly killed by ISIS Analysis by Zhiwei Communication shows that the sentiment value of the message reached -54 with negative high-frequency words including condemn and anger and positive high-frequency words including calm rational and peace Most people say China is now determined to follow a path of peaceful development What the Chinese people need now is calm not hot-headed individuals on the internet The public opinion heat is expected to continue rising,,,
77,fake,Yesterday a woman jumped off a building at Wenzhou Shenying Wanguo Securities The stock market plummeted investors were desperate and the market crash was spectacular A single share like a brick caused lives to fall vertically From now on in such a world among the people of this world jumping off buildings and drowning in rivers should be considered the greatest pleasure in life Reminder Recently avoid walking below tall buildings to be careful of being hit,,,
78,fake,Sichuan Yaan April 20 2013 A man refused to leave because he was playing LOL in a team fight In the end he was trapped under the rubble Fortunately the internet manager rescued him in time When he was rescued he said As long as I stand the tower stands His name is Demacia This guy is literally risking his life for gaming,,,
79,fake,Mr President of the Court As a prostitute standing in this solemn court I feel ashamed I was a mistress for two years to Wei Junzi the former Secretary of the Municipal Party Committee possibly the third or fourth mistress Today among those who are judging me there are my former clients who are now here to judge me The presidents shout Please comrades from the police take the defendant away O web link,,,
80,real,Cry for a while,,,
81,real,OpinionNorth Koreas Another Nuclear Test China Must Take the Lead in Containment The international community has long tolerated various dangerous actions by North Korea but its fourth nuclear test ignores global efforts to promote denuclearization threatening international peace and security O webpage linkEnglish OAfter North Korea’s latest nuclear test China must lead global efforts to rein in insecure regime,,,
82,fake,Been harmonized several times Keep going There are still reliable people contacting me Im in South Korea 2,,,
83,real,Jia Qinglin Visits Liancheng Fujian The Mountain Climbed Symbolizes Justice and Integrity There is also a century-old pine tree on Guanzhi Mountain According to introductions the dense forests of Guanzhi Mountain suffered devastation from war and chaos at the end of the Qing Dynasty the deforestation for steelmaking during the Great Leap Forward and the wanton logging during the Cultural Revolution Many pine trees were felled by axes but this old pine tree survived because its roots were embedded in a cliff making it impossible for loggers to swing their axes and it survived O web link,,,
84,fake,Recently there have been people questioning Zhang Haidis nationality once again as well as why he can cross his legs and drive a car etc These questions were raised once before a year ago resulting in Zhang Haidi deleting his microblog and slipping away leaving behind numerous unanswered questions The authenticity of a celebrity who cannot face the public with transparency and openness is doubtful not to mention that he is also a state official He has the obligation to explain himself clearly to the public,,,
85,real,New Years Eve Sexual Assaults Spread across Europe As the sexual assault cases in Cologne continue to come to light an increasing number of victims from Switzerland in the south to Finland in the north are stepping forward to reveal their experiences Panic is spreading further with Sweden warning women to be cautious when going out The Austrian police are caught in a public opinion storm due to accusations of covering up migrant sexual assaults while the Vienna police chief advises women not to go out alone,,,
86,fake,The automobile and real estate markets in Xinyang are about to boom,,,
87,fake,I dont criticize the US because Im a Chinese citizen and its my responsibility to criticize the Chinese government and society My criticism is based on my deep love for my country I dont have the same love for the US nor do I have the responsibility to criticize it,,,
88,real,French police arrest 7 not including Paris attack mastermind Terrorist brothers sold drug-linked bar before attack Citing two intelligence officials The Washington Post reported that Abdelhamid Abaaoud the suspected mastermind behind the Paris 1113 attacks has died French authorities stated that in the approximately 6-hour raid in the Saint-Denis area of northern Paris suburbs yesterday the 7 people arrested did not include Abaaoud and it is not confirmed whether Abaaoud was among the 2 people killed on the scene O web link,,,
89,fake,Amnesty for All Official Dynamics Du Baoqian the former Party Secretary of Lushi County lost his stepfather Upon hearing the news hundreds of cadres from the county went to mourn The most striking performance was from the three township Party secretaries Fan Zhang and Xue who brought their own mourning clothes and hats and burst into tears in the memorial hall calling the deceased dear father one after another Soon after Fan was appointed as the director of the County Construction Committee Zhang was promoted to the Minister of Propaganda of the County Party Committee and Xue was promoted to deputy county magistrate Truly filial sons,,,
90,fake,Raw fish slices,,,
91,fake,Related reports on Yaan earthquake This morning a person from the Red Cross bought items worth 10000 yuan and asked for an invoice of 50000 yuan which was reported The merchant who sold items worth 10000 yuan was happy to issue an invoice for 50000 yuan making a profit of 40000 yuan out of thin air Exorbitant profit exorbitant profit Please donate rationally If you really want to do charity you should participate in post-disaster reconstruction Lawyer Yuan Yulai Toutiao News Xue Manzi Mianzhou Brother Hou Ning Xiaofeng Xu Wang Weiyeh,,,
92,fake,Are the article and Gao Xiaosong graduates from the same school Was Chinese taught by the same teacher Chinas exam-oriented education is really like mass production on an assembly line I am at 2 Jingsong Fourth Road,,,
93,fake,Famous Actor Jiang Wen Dies A Heart-Wrenching Loss   Yesterday the renowned performing artist Jiang Wen passed away peacefully at his home in Changchun at the age of 49 The cause of Jiang Wens sudden death remains unclear It was not until 3 pm that his family realized he had not woken up At 830 pm last night the paramedics preliminarily identified the cause of death as heart Read more O web link  Download LOFTER client O page not found,,,
94,real,Russia Plesetsk Cosmodrome Soyuz launch vehicle,,,
95,real,Paris Terror Attacks Front Page of European Newspapers Today,,,
96,real,The Iraqi army discovered a box full of bomb-filled childrens toys,,,
97,fake,It seems that China and Japan are really going to fight The situation is tense,,,
98,real,India to become the locomotive of the global steel industry The plunge in steel prices coupled with the flooding of the international market with Chinese-made steel has pushed the global steel industry into a downturn However there are several reasons to be optimistic about the Indian market by comparison Edwin Basson the director general of the International Steel Association said There is really only one place with the long-term potential to pull the global steel market out of its current downturn and that is India India to become the global steel industrys locomotive,,,
99,real,Rainbow Mountain in Zhangye Gansu a masterpiece of nature so beautiful,,,
100,real,UN70thAnniversary In the past 24 hours in every corner of the Earth we have lit up the world with the UN Blue O web link,,,
101,fake,Evil deeds will eventually lead to self-destruction Shared from Shenzhen former intermediate Peoples Court Vice-President Pei Hongquan who slept with multiple female subordinates and female lawyers was sentenced to life imprisonment O Shenzhen former intermediate Peoples Court Vice-President Pei Hongquan who slept with multiple female subordinates and female lawyers was sentenced to life imprisonment,,,
102,fake,Premeditated poison attack on Fudan University Lin intended to kill Jiang Cheng but mistakenly killed Huang Yang instead Lins Baidu ID - Zhu Jiang Cheng and questions about poison toxicity on Baidu,,,
103,fake,Guo Meimei applies for minimum living allowance and it is surprisingly approved Guo Meimei told reporters that she is actually an unemployed person not as people imagine She also said that she has applied for minimum living allowance from the government and it has been approved,,,
104,fake,The Only Country That Refused Mother Teresa Mother Teresa visited China multiple times and humbly requested to establish a charitable organization to care for the poor in China However Chinese officials refused and told her that there are no poor people in China She dedicated her life to the poor of the world and countless countries welcomed her but only China rejected her On her deathbed she said I regret not being able to bring the gospel to the poor in China I can only weep countless times and pray for the poor in China,,,
105,real,FTChinese-PhotoAlbumParis National Memorial Service On November 27th local time at Les Invalides square in the center of Paris France President Hollande presided over a memorial service to mourn the 130 victims of the Paris terror attacks two weeks ago O webpage link,,,
106,fake,Because of 2 yuan a special police officer brutally beats a driver only to be instantly KOd by the drivers move Seems like hes dead Dont be too aggressive outside you never know who the real BOSS is O web link,,,
107,real,Daily Beauty The ancient Greek city of Selinunte in Sicily,,,
108,fake,Changes in traffic regulation demerit points Starting from New Years Day in 2013 the much-debated new traffic regulations will officially come into effect The so-called new traffic regulations are actually the newly revised Provisions on the Application and Use of Motor Vehicle Driving Licenses and Provisions on Motor Vehicle Registration by the Ministry of Public Security Due to the numerous changes detailed provisions and strict penalty measures they have been dubbed by netizens as the strictest traffic rules in history Share it with your friends,,,
109,real,Its been a while since I observed my surroundings Today when I got home I realized that the shops within 50 meters of my house are basically occupied by two types of companies Either real estate agencies or financing and wealth management Alas the real estate industry supports so many Chinese people Apart from a poor Fuanna which can still be considered an industrial shop the sign is even particularly ironic Winter is coming are you ready,,,
110,fake,Defense attorney Li Qian questioned the judge Can a doctor not save people if they leave the hospital The judge replied According to the Practicing Physician Law of the Peoples Republic of China practicing medicine outside of the designated practice location is illegal and is subject to civil and criminal liability The lawyer challenged again In an emergency if a doctor encounters a patient in need of urgent care on the street should they abandon their conscience and not render assistance The judge answered There are no emergencies before the law,,,
111,real,Comrade Corbyn after the Little Red Book incident in the parliament a couple of days ago British netizens have given the Labour Party leader Corbyn a new image Hey but personally I still prefer this picture on the cover of a certain newspaper,,,
112,fake,Terrifying The shocking black hole of high-speed rail A few days ago a high-speed rail project in Jilin which cost 23 billion was exposed for using stone blocks instead of concrete in bridge pier construction Absolutely horrifying International media exclaimed Riding Chinas high-speed rail is no different from suicide Recently netizens in a southern province discovered that due to dried-up river channels the high-speed rail bridge piers were also made of stone blocks instead of concrete Billions in high-speed rail projects hide a huge disaster black hole Tragedy O web link,,,
113,real,On this day in history December 25 1991 Soviet leader Mikhail Gorbachev announced his resignation transferring state power to Russian President Boris Yeltsin That evening the Soviet flag was slowly lowered from above the Kremlin marking the dissolution of the Union of Soviet Socialist Republics,,,
114,real,Little Yellow Duck Parodies ISIS Internet pranksters also want to contribute to the fight against ISIS and this is their latest action,,,
115,real,ISIS executes five British spies threatens attacks in the UK After a suicide bombing at a US military base in Iraq that killed at least 15 soldiers the extremist organization Islamic State released a video claiming to have executed five individuals working for Britain O web link,,,
116,real,Refugee Crisis Slovenia accuses Croatia of acting irresponsibly by sending thousands of migrants to their country without control The Slovenian government condemns Croatia for not accepting migrants according to EU requirements and calls on other EU countries to step forward to resolve the crisis The country claims that it can only accept 2500 migrants per day yet it has already taken in 8300 refugees The Slovenian government is currently deploying a large number of police forces to maintain order at the border and among the migrant groups,,,
117,fake,This is a female monkey about to be taken into the laboratory with her child clinging tightly to her The mother monkey looks at her child with great reluctance However the affectionate efforts of the mother and child cannot change anything they still cannot become subjects for human medical and biological experiments Lets all boycott products related to animal testing The lives of animals deserve respect cruelty and harm to animals are not science,,,
118,real,The previous set of images no comment,,,
119,real,Alibabas idea was explicitly written into the research report of the 13th Five-Year Plan I am really impressed by this PR skill FlowerFoldingBro rickwang02,,,
120,real,Earthquake Update Yesterdays earthquake that struck the South Asian region has caused over 200 deaths and 1000 injuries with the exact number of casualties still being tallied In Afghanistans Takhar province 12 female students died in a stampede while attempting to flee their school The epicenter of this earthquake is close to the epicenter of the 2005 earthquake that killed 75000 people,,,
121,real,Digital Topic Training Financial English Star Wars Breaks Multiple Records in Opening Weekend  Star Wars The Force Awakens produced by Disney was released in 4134 theaters across North America at 7 pm on December 17 becoming the first Hollywood film to gross over $100 million in 24 hours This highlights the reason why Walt Disney Company spent $4 billion to acquire the rights to the series three years ago OFT Business School,,,
122,fake,Tokyo Olympics Bid Successful Tokyos Olympic budget is one-tenth of Beijings Abes cabinet has announced an investment of $45 billion for the Olympics which is only one-tenth of the $43 billion spent on the 2008 Beijing Olympics,,,
123,fake,In 2011 the Shenzhen Universiade cost 800 billion yuan the 2010 Guangzhou Asian Games cost 1200 billion yuan the Shanghai World Expo cost 3000 billion yuan and the 2008 Beijing Olympics cost 3000 billion yuan - the total investment in the four major events amounts to 8000 billion yuan This is equivalent to the total fiscal deficit in 2010 155% of defense spending 167% of healthcare expenditure and 337% of investment in affordable housing Is 8000 billion yuan a lot It depends on the comparison If compared to the three public consumptions its indeed not much not even enough for a years spending,,,
